timestamp,Unnamed: 0,lap,heart_rate,cadence,position_lat,position_long,distance,enhanced_altitude,enhanced_speed,calories,power,temperature,fractional_cadence,alt_difference,rolling_ave_alt
2021-04-01 20:11:28+00:00,0,1,80,62,-442663427,2087261707,0.0,16.600000000000023,1.194,,,20,0.0,0.0,0.12000000000000455
2021-04-01 20:11:29+00:00,1,1,81,60,-442663360,2087261435,1.89,16.600000000000023,1.39,,,20,0.0,0.0,0.12000000000000455
2021-04-01 20:11:30+00:00,2,1,81,59,-442663360,2087261435,1.89,16.600000000000023,1.306,,,20,0.0,0.0,0.12000000000000455
2021-04-01 20:11:31+00:00,3,1,81,60,-442663315,2087261269,3.11,16.600000000000023,1.306,,,20,0.0,0.0,0.12000000000000455
2021-04-01 20:11:32+00:00,4,1,81,119,-442663319,2087260976,5.29,17.0,1.428,,,20,0.0,0.39999999999997726,0.12000000000000455
2021-04-01 20:11:33+00:00,5,1,81,119,-442663338,2087260640,7.79,17.200000000000045,2.361,,,20,0.0,0.20000000000004547,0.12000000000000455
2021-04-01 20:11:34+00:00,6,1,80,91,-442663362,2087260295,10.36,17.399999999999977,2.613,,,20,0.5,0.1999999999999318,0.1599999999999909
2021-04-01 20:11:35+00:00,7,1,80,91,-442663349,2087259895,13.34,17.399999999999977,2.659,,,20,0.5,0.0,0.1599999999999909
2021-04-01 20:11:36+00:00,8,1,80,91,-442663365,2087259564,15.81,17.399999999999977,2.641,,,20,0.5,0.0,0.1599999999999909
2021-04-01 20:11:37+00:00,9,1,80,90,-442663487,2087259248,18.36,17.399999999999977,2.641,,,20,0.5,0.0,0.07999999999999545
2021-04-01 20:11:38+00:00,10,1,82,90,-442663652,2087259028,20.48,17.200000000000045,2.631,,,20,0.5,-0.1999999999999318,0.0
2021-04-01 20:11:39+00:00,11,1,84,90,-442663884,2087258782,23.29,17.200000000000045,2.454,,,20,0.5,0.0,-0.03999999999998636
2021-04-01 20:11:40+00:00,12,1,85,89,-442664165,2087258633,26.1,17.200000000000045,2.445,,,20,0.5,0.0,-0.03999999999998636
2021-04-01 20:11:41+00:00,13,1,87,89,-442664478,2087258516,29.11,17.0,2.445,,,20,0.5,-0.20000000000004547,-0.07999999999999545
2021-04-01 20:11:42+00:00,14,1,89,89,-442664751,2087258466,31.65,17.200000000000045,2.454,,,20,0.5,0.20000000000004547,-0.03999999999998636
2021-04-01 20:11:43+00:00,15,1,90,90,-442664996,2087258593,33.57,17.0,2.454,,,20,0.5,-0.20000000000004547,-0.0400000000000091
2021-04-01 20:11:44+00:00,16,1,91,91,-442665427,2087258527,37.57,17.0,2.463,,,20,0.5,0.0,-0.0400000000000091
2021-04-01 20:11:45+00:00,17,1,92,91,-442665794,2087258522,40.91,16.600000000000023,2.491,,,20,0.5,-0.39999999999997726,-0.12000000000000455
2021-04-01 20:11:46+00:00,18,1,93,92,-442666096,2087258507,43.65,16.600000000000023,2.501,,,20,0.5,0.0,-0.07999999999999545
2021-04-01 20:11:47+00:00,19,1,94,92,-442666430,2087258389,46.87,16.600000000000023,2.51,,,20,0.5,0.0,-0.12000000000000455
