timestamp,Unnamed: 0,lap,heart_rate,cadence,distance,enhanced_altitude,enhanced_speed,calories,power,temperature,fractional_cadence,alt_difference,rolling_ave_alt
2021-06-23 22:46:01+00:00,0,1,73,0,0.0,275.20000000000005,0.0,,,26,0.0,0.0,0.03999999999998636
2021-06-23 22:46:02+00:00,1,1,71,0,0.51,275.20000000000005,0.0,,,26,0.0,0.0,0.03999999999998636
2021-06-23 22:46:03+00:00,2,1,71,0,0.71,275.20000000000005,0.0,,,26,0.0,0.0,0.03999999999998636
2021-06-23 22:46:04+00:00,3,1,70,0,1.49,275.20000000000005,0.0,,,26,0.0,0.0,0.03999999999998636
2021-06-23 22:46:05+00:00,4,1,72,0,2.58,275.20000000000005,0.0,,,26,0.0,0.0,0.03999999999998636
2021-06-23 22:46:06+00:00,5,1,71,86,4.26,275.4,0.0,,,26,0.0,0.1999999999999318,0.03999999999998636
2021-06-23 22:46:07+00:00,6,1,72,86,6.89,276.0,0.0,,,26,0.0,0.6000000000000227,0.1599999999999909
2021-06-23 22:46:08+00:00,7,1,71,91,10.61,276.0,1.474,,,26,0.0,0.0,0.1599999999999909
2021-06-23 22:46:09+00:00,8,1,71,91,13.73,276.20000000000005,1.605,,,26,0.0,0.20000000000004547,0.2
2021-06-23 22:46:10+00:00,9,1,71,91,17.1,276.4,2.743,,,26,0.0,0.1999999999999318,0.23999999999998636
2021-06-23 22:46:11+00:00,10,1,73,91,19.13,276.6,2.743,,,26,0.0,0.20000000000004547,0.2400000000000091
2021-06-23 22:46:12+00:00,11,1,75,90,21.78,277.0,2.641,,,26,0.5,0.39999999999997726,0.2
2021-06-23 22:46:13+00:00,12,1,77,89,24.0,277.20000000000005,2.641,,,26,0.0,0.20000000000004547,0.2400000000000091
2021-06-23 22:46:14+00:00,13,1,79,89,26.15,277.20000000000005,2.594,,,26,0.0,0.0,0.2
2021-06-23 22:46:15+00:00,14,1,81,90,28.19,277.20000000000005,2.594,,,26,0.5,0.0,0.16000000000001363
2021-06-23 22:46:16+00:00,15,1,84,90,30.33,278.20000000000005,2.594,,,26,0.5,1.0,0.32000000000000456
2021-06-23 22:46:17+00:00,16,1,86,90,32.62,278.4,2.585,,,26,0.0,0.1999999999999318,0.2799999999999955
2021-06-23 22:46:18+00:00,17,1,89,90,34.74,278.4,2.501,,,26,0.0,0.0,0.23999999999998636
2021-06-23 22:46:19+00:00,18,1,92,90,37.21,278.4,2.463,,,26,0.0,0.0,0.23999999999998636
2021-06-23 22:46:20+00:00,19,1,95,91,40.17,278.4,2.463,,,26,0.0,0.0,0.23999999999998636
2021-06-23 22:46:21+00:00,20,1,98,91,42.49,278.6,2.473,,,26,0.0,0.20000000000004547,0.07999999999999545
2021-06-23 22:46:22+00:00,21,1,102,91,44.53,278.6,2.491,,,26,0.0,0.0,0.0400000000000091
2021-06-23 22:46:23+00:00,22,1,105,91,46.96,278.6,2.501,,,26,0.0,0.0,0.0400000000000091
2021-06-23 22:46:24+00:00,23,1,107,91,49.36,278.79999999999995,2.501,,,26,0.0,0.1999999999999318,0.07999999999999545
2021-06-23 22:46:25+00:00,24,1,111,92,51.63,279.0,2.491,,,26,0.5,0.20000000000004547,0.12000000000000455
2021-06-23 22:46:26+00:00,25,1,110,92,54.12,279.20000000000005,2.482,,,26,0.5,0.20000000000004547,0.12000000000000455
2021-06-23 22:46:27+00:00,26,1,111,92,56.38,279.6,2.473,,,26,0.5,0.39999999999997726,0.2
2021-06-23 22:46:28+00:00,27,1,113,92,58.63,279.6,2.473,,,25,0.5,0.0,0.2
2021-06-23 22:46:29+00:00,28,1,114,91,60.7,280.0,2.463,,,26,0.0,0.39999999999997726,0.2400000000000091
2021-06-23 22:46:30+00:00,29,1,116,91,63.01,280.20000000000005,2.463,,,25,0.0,0.20000000000004547,0.2400000000000091
2021-06-23 22:46:31+00:00,30,1,115,90,65.06,280.6,2.454,,,25,0.0,0.39999999999997726,0.2799999999999955
2021-06-23 22:46:32+00:00,31,1,117,90,67.34,280.79999999999995,2.445,,,25,0.0,0.1999999999999318,0.23999999999998636
2021-06-23 22:46:33+00:00,32,1,119,90,69.98,281.20000000000005,2.435,,,25,0.0,0.40000000000009095,0.32000000000000456
2021-06-23 22:46:34+00:00,33,1,119,90,72.55,281.6,2.417,,,25,0.0,0.39999999999997726,0.32000000000000456
2021-06-23 22:46:35+00:00,34,1,119,90,75.16,281.79999999999995,2.398,,,25,0.0,0.1999999999999318,0.3199999999999818
2021-06-23 22:46:36+00:00,35,1,119,90,77.78,282.4,2.379,,,25,0.0,0.6000000000000227,0.3599999999999909
2021-06-23 22:46:37+00:00,36,1,120,90,80.14,283.0,2.37,,,25,0.0,0.6000000000000227,0.4400000000000091
2021-06-23 22:46:38+00:00,37,1,120,90,83.04,283.4,2.351,,,25,0.0,0.39999999999997726,0.43999999999998635
2021-06-23 22:46:39+00:00,38,1,120,91,85.7,283.4,2.351,,,25,0.0,0.0,0.3599999999999909
2021-06-23 22:46:40+00:00,39,1,120,91,88.72,283.6,2.342,,,25,0.0,0.20000000000004547,0.36000000000001364
2021-06-23 22:46:41+00:00,40,1,120,90,91.77,284.20000000000005,2.333,,,25,0.0,0.6000000000000227,0.36000000000001364
2021-06-23 22:46:42+00:00,41,1,120,90,94.49,284.6,2.333,,,25,0.0,0.39999999999997726,0.32000000000000456
2021-06-23 22:46:43+00:00,42,1,120,91,97.46,284.6,2.333,,,25,0.0,0.0,0.2400000000000091
2021-06-23 22:46:44+00:00,43,1,121,91,100.37,284.6,2.333,,,25,0.0,0.0,0.2400000000000091
2021-06-23 22:46:45+00:00,44,1,122,91,103.02,284.6,2.333,,,25,0.0,0.0,0.2
2021-06-23 22:46:46+00:00,45,1,122,91,105.83,285.0,2.333,,,25,0.0,0.39999999999997726,0.1599999999999909
2021-06-23 22:46:47+00:00,46,1,122,90,108.08,285.4,2.333,,,25,0.0,0.39999999999997726,0.1599999999999909
2021-06-23 22:46:48+00:00,47,1,123,90,110.36,285.6,2.37,,,25,0.0,0.20000000000004547,0.2
2021-06-23 22:46:49+00:00,48,1,123,89,112.62,285.79999999999995,2.417,,,25,0.0,0.1999999999999318,0.23999999999998636
2021-06-23 22:46:50+00:00,49,1,122,90,115.0,285.79999999999995,2.445,,,25,0.0,0.0,0.23999999999998636
2021-06-23 22:46:51+00:00,50,1,122,91,117.25,286.0,2.445,,,25,0.0,0.20000000000004547,0.2
2021-06-23 22:46:52+00:00,51,1,123,91,119.37,286.0,2.445,,,25,0.0,0.0,0.12000000000000455
2021-06-23 22:46:53+00:00,52,1,123,92,121.73,286.4,2.463,,,25,0.5,0.39999999999997726,0.1599999999999909
2021-06-23 22:46:54+00:00,53,1,123,92,123.82,286.6,2.482,,,25,0.5,0.20000000000004547,0.16000000000001363
2021-06-23 22:46:55+00:00,54,1,123,91,125.68,287.0,2.482,,,25,0.0,0.39999999999997726,0.2400000000000091
2021-06-23 22:46:56+00:00,55,1,123,91,127.6,287.4,2.445,,,25,0.0,0.39999999999997726,0.2799999999999955
2021-06-23 22:46:57+00:00,56,1,123,92,129.33,287.6,2.417,,,25,0.0,0.20000000000004547,0.32000000000000456
2021-06-23 22:46:58+00:00,57,1,123,92,131.16,287.6,2.398,,,25,0.0,0.0,0.2400000000000091
2021-06-23 22:46:59+00:00,58,1,123,91,132.64,288.6,2.361,,,25,0.0,1.0,0.4
2021-06-23 22:47:00+00:00,59,1,123,90,134.27,288.79999999999995,2.342,,,25,0.5,0.1999999999999318,0.3599999999999909
